Code,food_name,GI,GL
D044,"Cucumber, green, short (Cucumis sativus)",,
D045,"Cucumber, orange, round (Cucumis sativus)",,
D046,Drumstick (Moringa oleifera),,
D047,"Field beans, tender, broad (Vicia faba)",,
D048,"Field beans, tender, lean (Vicia faba)",,
D049,"French beans, country (Phaseolus vulgaris)",,
D050,"French beans, hybrid  (Phaseolus vulgaris)",,
D051,"Jack fruit, raw (Artocarpus heterophyllus)",,
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",,
D053,Knol - Khol (Brassica oleracea),,
D054,"Kovai, big (Coccinia cordifolia)",,
D055,"Kovai, small (Coccinia cordifolia)",,
D056,Ladies finger (Abelmoschus esculentus),,
D057,"Mango, green, raw (Mangifera indica)",,
D058,"Onion, stalk (Allium cepa)",,
D059,"Papaya, raw (Carica papaya)",,
D060,Parwar (Trichosanthes dioica),,
D061,"Peas, fresh (Pisum sativum)",,
D062,"Plantain, flower (Musa x paradisiaca)",,
D063,"Plantain, green (Musa x paradisiaca)",,
D064,"Plantain, stem (Musa x paradisiaca)",,
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",,
D066,"Pumpkin, orange,  round (Cucurbita maxima)",,
D067,"Red gram, tender, fresh (Cajanus cajan)",,
D068,Ridge gourd (Luffa acutangula),,
D069,"Ridge gourd, smooth skin (Luffa acutangula)",,
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",,
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",,
D072,"Snake gourd, short (Trichosanthes anguina)",,
D073,"Tinda, tender (Praecitrullus fistulosus)",,
D074,"Tomato, green (Solanum lycopersicum)",,
D075,"Tomato, ripe, hybrid ((Solanum lycopersicum)",,
D076,"Tomato, ripe, local (Lycopersicon esculentum)",,
D077,"Zucchini, green (Cucurbita pepo)",,
D078,"Zucchini, yellow  (Cucurbita pepo)",,
E001,"Apple, big (Malus domestica)",,
E002,"Apple, green (Malus domestica)",,
E003,"Apple, small (Malus domestica)",,
E004,"Apple, small, Kashmir (Malus domestica)",,
E005,"Apricot, dried (Prunus armeniaca)",,
E006,"Apricot, processed (Prunus armeniaca)",,
E007,Avocado fruit (Persea sp.),,
E008,Bael fruit (Aegle marmelos),,
E009,"Banana, ripe, montham (Musa x paradisiaca)",,
E010,"Banana, ripe, poovam (Musa x paradisiaca)",,
E011,"Banana, ripe, red (Musa x paradisiaca)",,
E012,"Banana, ripe, robusta (Musa x paradisiaca)",,
E013,Black berry (Rubus sp.),,
E014,"Cherries, red (Prunus cerasus)",,
E015,"Currants, black (Ribes nigrum)",,
E016,Custard apple (Annona squamosa),,
E017,"Dates, dry, pale brown (Phoenix dactylifera)",,
E018,"Dates, dry, dark brown (Phoenix dactylifera)",,
E019,"Dates, processed (Phoenix dactylifera)",,
E020,Fig (Ficus carica),,
E021,Gooseberry (Emblica officinalis),,
E022,"Grapes, seeded, round, black (Vitis vinifera)",,
E023,"Grapes, seeded, round, green (Vitis vinifera)",,
E024,"Grapes, seeded, round, red (Vitis vinifera)",,
E025,"Grapes, seedless, oval, black (Vitis vinifera)",,
E026,"Grapes, seedless, round, green (Vitis vinifera)",,
E027,"Grapes, seedless, round, black (Vitis vinifera)",,
E028,"Guava, white flesh (Psidium guajava)",,
E029,"Guava, pink flesh (Psidium guajava)",,
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",,
E031,"Jambu fruit, ripe (Syzygium samarangense)",,
E032,Karonda fruit (Carissa carandas),,
E033,"Lemon, juice (Citrus limon)",,
E034,"Lime, sweet,pulp (Citrus limetta)",,
E035,Litchi (Litchi chinensis),,
E036,"Mango, ripe, banganapalli (Mangifera indica)",,
E037,"Mango, ripe, gulabkhas (Mangifera indica)",,
E038,"Mango, ripe, himsagar (Mangifera indica)",,
