code,Food Name,,PROTCNT,FATCE,FIBTG,CHOAVLDF,ENERC,Exchange
E054,Plum (Prunus domestica),3,0.64±0.13,0.40±0.16,2.07±0.36,12.10±1.47,238±19,FRUITS
E055,"Pomegranate, maroon seeds (Punica granatum)",6,1.33±0.07,0.15±0.02,2.83±0.06,11.58±0.43,229±6,FRUITS
E056,Pummelo (Citrus maxima),3,0.68±0.06,0.42±0.01,0.80±0.04,10.64±1.54,210±26,FRUITS
E057,"Raisins, dried, black (Vitis vinifera)",6,2.57±0.20,0.34±0.02,3.92±0.23,71.29±0.48,1279±12,FRUITS
E058,"Raisins, dried, golden (Vitis vinifera)",6,2.76±0.26,0.35±0.03,4.56±0.50,68.79±1.00,1241±16,FRUITS
E059,Rambutan (Nephelium lappaceum),1,0.68,0.16,1.02,16.84,306,FRUITS
E060,Sapota (Achras sapota),6,0.92±0.07,1.26±0.02,9.60±0.57,13.90±1.13,307±18,FRUITS
E061,Soursop (Annona muricata),1,0.74,0.94,4.95,11.94,260,FRUITS
E062,Star fruit (Averrhoa carambola),1,0.79,0.39,2.81,4.51,110,FRUITS
E063,Strawberry (Fragaria x ananassa),6,0.97±0.10,0.56±0.02,2.50±0.03,3.40±0.64,103±11,FRUITS
E064,"Tamarind, pulp (Tamarindus indica)",6,2.92±0.22,0.15±0.02,5.31±0.27,67.35±0.45,1207±7,FRUITS
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,0.60±0.06,0.16±0.01,0.70±0.14,3.86±0.59,85±10,FRUITS
E066,"Water melon, pale green (Citrullus vulgaris)",6,0.59±0.03,0.16±0.01,0.78±0.11,3.02±0.21,70±4,FRUITS
E067,Wood Apple (Limonia acidissima),3,3.14±0.30,3.62±0.03,5.21±0.38,7.52±0.58,327±3,FRUITS
E068,Zizyphus (Zizyphus jujube),1,1.34,0.35,3.73,9.4,204,FRUITS
