Code,food_name,gi,gi_category,gi_source
C019,Drumstick leaves (Moringa oleifera),50,low,"estimated (food-group based, ICFT aligned)"
C020,Fenugreek leaves (Trigonella foenum graecum),50,low,"estimated (food-group based, ICFT aligned)"
C021,Garden cress (Lepidium sativum),50,low,"estimated (food-group based, ICFT aligned)"
C022,"Gogu leaves, green (Hibiscus cannabinus)",50,low,"estimated (food-group based, ICFT aligned)"
C023,"Gogu leaves, red (Hibiscus cannabinus)",50,low,"estimated (food-group based, ICFT aligned)"
C024,"Knol-Khol, leaves (Brassica oleracea var.gongylodes)",50,low,"estimated (food-group based, ICFT aligned)"
C025,Lettuce (Lactuca sativa),50,low,"estimated (food-group based, ICFT aligned)"
C026,Mustard leaves (Brassica juncea),50,low,"estimated (food-group based, ICFT aligned)"
C027,Pak Choi leaves (Brassica rapa var. chinensis),50,low,"estimated (food-group based, ICFT aligned)"
C028,Parsley (Petroselinum crispum),50,low,"estimated (food-group based, ICFT aligned)"
C029,Ponnaganni (Alternanthera sessilis),50,low,"estimated (food-group based, ICFT aligned)"
C030,"Pumpkin leaves, tender (Cucurbita maxima)",50,low,"estimated (food-group based, ICFT aligned)"
C031,Radish leaves (Raphanus sativus),50,low,"estimated (food-group based, ICFT aligned)"
C032,Rumex leaves (Rumex patientia),50,low,"estimated (food-group based, ICFT aligned)"
C033,Spinach (Spinacia oleracea),50,low,"estimated (food-group based, ICFT aligned)"
C034,"Tamarind leaves, tender (Tamarindus indica)",50,low,"estimated (food-group based, ICFT aligned)"
D001,Ash gourd (Benincasa hispida),50,low,"estimated (food-group based, ICFT aligned)"
D002,"Bamboo shoot, tender (Bambusa vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
D003,"Bean scarlet, tender (Phaseolus coccineus)",50,low,"estimated (food-group based, ICFT aligned)"
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",50,low,"estimated (food-group based, ICFT aligned)"
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",50,low,"estimated (food-group based, ICFT aligned)"
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",50,low,"estimated (food-group based, ICFT aligned)"
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
D010,Brinjal-1 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D011,Brinjal-2 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D012,Brinjal-3 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D013,Brinjal-4 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D014,Brinjal-5 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D015,Brinjal-6 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D016,Brinjal-7 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D017,Brinjal-8 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D018,Brinjal-9 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D019,Brinjal-10 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D020,Brinjal-11 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D021,Brinjal-12 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D022,Brinjal-13 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D023,Brinjal-14 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D024,Brinjal-15 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D025,Brinjal-16 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D026,Brinjal-17 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D027,Brinjal-18 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D028,Brinjal-19 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D029,Brinjal-20 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D030,Brinjal-21 (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D031,Brinjal - all varieties (Solanum melongena),50,low,"estimated (food-group based, ICFT aligned)"
D032,Broad beans (Vicia faba),50,low,"estimated (food-group based, ICFT aligned)"
D033,"Capsicum, green (Capsicum annuum)",50,low,"estimated (food-group based, ICFT aligned)"
D034,"Capsicum, red (Capsicum annuum)",50,low,"estimated (food-group based, ICFT aligned)"
D035,"Capsicum, yellow (Capsicum annuum)",50,low,"estimated (food-group based, ICFT aligned)"
D036,Cauliflower (Brassica oleracea var. botrytis),50,low,"estimated (food-group based, ICFT aligned)"
D037,Celery stalk (Apium graveolens),50,low,"estimated (food-group based, ICFT aligned)"
