code,Food Name,,PROTCNT,FATCE,FIBTG,CHOAVLDF,ENERC,Exchange
P074,"Shark, spotted  (Stegostoma fasciatum)",1,20.95,0.75,,,384,MARINE FISH
P075,Shelavu (Sphyraena jello),4,22.46±1.34,1.74±0.50,,,446±41,MARINE FISH
P076,Silan (Silonia silondia),1,22.72,6.68,,,633,MARINE FISH
P077,Silk fish (Beryx sp.),1,20.65,1.53,,,408,MARINE FISH
P078,Silver carp  (Hypophthalmichthys molitrix),1,21.71,5.17,,,555,MARINE FISH
P079,Sole fish (Cynoglossus arel),1,19.05,1.18,,,367,MARINE FISH
P080,Stingray (Dasyatis pastinaca),1,23.98,0.68,,,408,MARINE FISH
P081,Tarlava (Drepane punctata) 414,2,21.72,1.2,,,,MARINE FISH
P082,Tholam (Plectorhinchus schotaf),2,20.78,2.13,,,432,MARINE FISH
P083,Tilapia (Oreochromis niloticus),1,18.48,1.08,,,349,MARINE FISH
P084,Tuna (Euthynnus affinis),5,24.50±0.27,1.44±0.42,,,470±16,MARINE FISH
P085,"Tuna, striped (Katsuwonus pelamis)",1,21.28,1.12,,,403,MARINE FISH
P086,Valava (Chirocentrus nudus),1,21.8,1.06,,,410,MARINE FISH
P087,Vanjaram (Scomberomorus commerson ),2,22.28,5.18,,,570,MARINE FISH
P088,Vela meen (Aprion virescens),1,22.16,4.34,,,537,MARINE FISH
P089,Vora (Siganus javus),2,20.14,2.14,,,422,MARINE FISH
P090,Whale shark  (Galeocerdo cuvier),1,21.83,0.82,,,401,MARINE FISH
P091,Xiphinis (Xiphias gladius),1,19.82,0.88,,,370,MARINE FISH
P092,"EZ.ggs, Cat fish (Ompok bimaculatus)",1,24.68,5.28,,,600,MARINE FISH
Q001,Crab (Menippe mercenaria),1,10.23,1.41,,,343,MARINE SHELLFISH
Q002,"Crab, sea (Portunus sanguinolentus)",1,15.36,0.6,,,283,MARINE SHELLFISH
Q003,"Lobster, brown  (Thenus orientalis)",1,15.96,0.56,,,292,MARINE SHELLFISH
Q004,"Lobster, king size  (Thenus orientalis)",1,18.54,0.78,,,375,MARINE SHELLFISH
Q005,Mud crab (Scylla tranquebarica),1,10,0.55,,,190,MARINE SHELLFISH
Q006,Oyster (Crassostrea sp.),1,9.51,2.44,,,252,MARINE SHELLFISH
Q007,"Tiger prawns, brown  (Solenocera crassicornis)",1,14.85,0.56,,,273,MARINE SHELLFISH
Q008,"Tiger Prawns, orange (Penaeus monodon)",1,14.25,0.74,,,270,MARINE SHELLFISH
R001,"Clam, green shell (Perna viridis )",1,12.14,0.98,,,243,MARINE MOLLUSKS
R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,11.82,1.34,,,250,MARINE MOLLUSKS
R003,Octopus (Octopus vulgaris),1,14.71,1.12,,,334,MARINE MOLLUSKS
R004,"Squid, black (Loligo sp.)",1,16.1,1.07,,,335,MARINE MOLLUSKS
R005,"Squid, hard shell (Sepia pharaonis)",1,16.82,0.93,,,320,MARINE MOLLUSKS
R006,"Squid, red  (Loligo duvaucelii)",2,16.25,1.44,,,329,MARINE MOLLUSKS
R007,"Squid, white, small  (Uroteuthis duvauceli )",1,17.41,1.15,,,353,MARINE MOLLUSKS
S001,Cat fish (Tandanus tandanus),2,15.86±3.65,6.24±3.03,,,518±84,FRESHWATER FISH AND SHELLFISH
S002,Catla (Catla catla),6,17.94±1.36,2.15±0.34,,,394±6,FRESHWATER FISH AND SHELLFISH
S003,Freshwater Eel  (Anguilla anguilla),1,20.41,2.63,,,451,FRESHWATER FISH AND SHELLFISH
S004,Gold fish (Carassius auratus),2,16.91,2.94,,,396,FRESHWATER FISH AND SHELLFISH
S005,Pangas  (Pangasianodon hypophthalmus),6,17.12±1.62,16.77±0.91,,,852±24,FRESHWATER FISH AND SHELLFISH
S006,Rohu (Labeo rohita),6,19.71±0.57,2.39±0.64,,,428±12,FRESHWATER FISH AND SHELLFISH
S007,Crab (Pachygrapsus sp.),1,13.23,0.89,,,327,FRESHWATER FISH AND SHELLFISH
S008,"Prawns, big (Macrobrachium rosenbergii)",1,19.24 Regions,0.52,,,380,FRESHWATER FISH AND SHELLFISH
S009,"Prawns, small  (Macrobrachium sp.)",3,13.07,0.78,,,297,FRESHWATER FISH AND SHELLFISH
S010,Tiger prawns (Macrobrachium sp.),2,14.24,0.66,,,284,FRESHWATER FISH AND SHELLFISH
